Numéro de mesure,Longitude,Latitude,Position,Insee,Adresse,Complément,Code postal,Commune,Date de mesure,Mesure réalisée,Rapport,Conformité de la mesure,Niveau global,Type d'environnement,Laboratoire
101724,3.85208,43.61286,"03° 51' 07.50'' Est, 43° 36' 46.30'' Nord",34172,25 Rue de Clémentville,,34070,MONTPELLIER,16/7/2013,En intérieur,Rapport public FM061301-R.pdf,Oui,1.05,"Etablissement ouvert au public (Ecole, Et Soins, Gare?)",AEXPERTISE
102228,3.86750,43.60917,"03° 52' 03.00'' Est, 43° 36' 33.00'' Nord",34172,Impasse Cantié,,34000,MONTPELLIER,28/3/2013,En intérieur,Rapport public OS021301-R.pdf,Oui,0.88,Lieu d'habitation,AEXPERTISE
102582,3.87889,43.60000,"03° 52' 44.00'' Est, 43° 36' 00.00'' Nord",34172,2 Boulevard de la Perruque,,34000,MONTPELLIER,20/12/2012,En intérieur,Rapport public SM111207-R.pdf,Oui,0.58,Lieu d'habitation,AEXPERTISE
102762,3.23086,43.35108,"03° 13' 51.10'' Est, 43° 21' 03.90'' Nord",34032,2 Rue Ferdinand de Lesseps,,34500,BEZIERS,17/12/2012,En intérieur,Rapport public OM111206-R.pdf,Oui,0.36,"Etablissement ouvert au public (Ecole, Et Soins, Gare?)",AEXPERTISE
102763,3.87197,43.59194,"03° 52' 19.10'' Est, 43° 35' 31.00'' Nord",34172,2 Rue du Tibidabo,,34000,MONTPELLIER,27/11/2012,En intérieur,Rapport public OM111203-R.pdf,Oui,1.79,Lieu d'habitation,AEXPERTISE
103186,3.91250,43.62306,"03° 54' 45.00'' Est, 43° 37' 23.00'' Nord",34057,235 Rue Hélène Boucher,,34170,CASTELNAU-LE-LEZ,26/11/2012,En intérieur,Rapport public SM111201-R.pdf,Oui,0.88,"Etablissement ouvert au public (Ecole, Et Soins, Gare?)",AEXPERTISE
103308,3.89084,43.60785,"03° 53' 27.03'' Est, 43° 36' 28.24'' Nord",34172,50 Place Zeus,,34000,MONTPELLIER,11/7/2013,En intérieur,C205R01PUB.pdf,Oui,2.49,Locaux professionnels non accessibles au public,EXEM
103374,3.21431,43.34333,"03° 12' 51.52'' Est, 43° 20' 36.00'' Nord",34032,3 Rue Mairan,,34500,BEZIERS,23/5/2013,En intérieur,C143R01PUB.pdf,Oui,0.16,Lieu d'habitation,EXEM
105227,3.67611,43.39458,"03° 40' 34.00'' Est, 43° 23' 40.50'' Nord",34301,Rue du Pasteur Lucien Benoit,,34200,SETE,21/1/2013,En intérieur,Rapport public FM111217-R.pdf,Oui,0.33,"Etablissement ouvert au public (Ecole, Et Soins, Gare?)",AEXPERTISE
105238,4.00389,43.62528,"04° 00' 14.00'' Est, 43° 37' 31.00'' Nord",34154,Route de Vendargues,,34130,MAUGUIO,11/4/2013,En intérieur,Rapport public FM031303-R.pdf,Oui,1.00,Locaux professionnels non accessibles au public,AEXPERTISE
105239,4.00389,43.62528,"04° 00' 14.00'' Est, 43° 37' 31.00'' Nord",34154,Route de Vendargues,,34130,MAUGUIO,11/4/2013,En intérieur,Rapport public FM031303-R.pdf,Oui,0.49,Locaux professionnels non accessibles au public,AEXPERTISE
105240,4.00389,43.62528,"04° 00' 14.00'' Est, 43° 37' 31.00'' Nord",34154,Route de Vendargues,,34130,MAUGUIO,11/4/2013,En intérieur,Rapport public FM031303-R.pdf,Oui,0.16,Locaux professionnels non accessibles au public,AEXPERTISE
105241,4.00389,43.62528,"04° 00' 14.00'' Est, 43° 37' 31.00'' Nord",34154,Route de Vendargues,,34130,MAUGUIO,11/4/2013,En intérieur,Rapport public FM031303-R.pdf,Oui,0.14,Locaux professionnels non accessibles au public,AEXPERTISE
